# t_min t_max tau A
0.00 25.00 42.169529 3.870997
2.00 27.00 23.552651 2.753436
4.00 29.00 22.631070 2.664285
6.00 31.00 22.072611 2.602954
8.00 33.00 21.690298 2.556020
10.00 35.00 21.418746 2.519303
12.00 37.00 21.221360 2.490242
14.00 39.00 21.075131 2.467000
16.00 41.00 20.965003 2.448230
18.00 43.00 20.880872 2.432937
20.00 45.00 20.815807 2.420378
22.00 47.00 20.764963 2.409996
24.00 49.00 20.724882 2.401365
26.00 51.00 20.693052 2.394158
28.00 53.00 20.667618 2.388117
30.00 55.00 20.647193 2.383040
32.00 57.00 20.630720 2.378763
34.00 59.00 20.617389 2.375154
36.00 61.00 20.606568 2.372105
38.00 63.00 20.597762 2.369526
40.00 65.00 20.590579 2.367344
42.00 67.00 20.584712 2.365496
44.00 69.00 20.579909 2.363930
46.00 71.00 20.575972 2.362603
48.00 73.00 20.572739 2.361477
50.00 75.00 20.570082 2.360523
52.00 77.00 20.567895 2.359713
54.00 79.00 20.566091 2.359025
56.00 81.00 20.564603 2.358441
58.00 83.00 20.563372 2.357944
60.00 85.00 20.562354 2.357522
62.00 87.00 20.561510 2.357163
64.00 89.00 20.560809 2.356857
66.00 91.00 20.560227 2.356596
68.00 93.00 20.559742 2.356373
70.00 95.00 20.559338 2.356183
72.00 97.00 20.559001 2.356021
74.00 99.00 20.558718 2.355882
76.00 101.00 20.558482 2.355763
78.00 103.00 20.558284 2.355661
80.00 105.00 20.558117 2.355573
82.00 107.00 20.557976 2.355498
84.00 109.00 20.557858 2.355433
86.00 111.00 20.557758 2.355377
88.00 113.00 20.557673 2.355329
90.00 115.00 20.557601 2.355287
92.00 117.00 20.557540 2.355251
94.00 119.00 20.557488 2.355220
96.00 121.00 20.557444 2.355192
98.00 123.00 20.557406 2.355169
100.00 125.00 20.557374 2.355148
102.00 127.00 20.557346 2.355130
104.00 129.00 20.557323 2.355115
106.00 131.00 20.557302 2.355101
108.00 133.00 20.557285 2.355089
110.00 135.00 20.557269 2.355079
112.00 137.00 20.557256 2.355069
114.00 139.00 20.557245 2.355061
116.00 141.00 20.557235 2.355054
118.00 143.00 20.557227 2.355048
120.00 145.00 20.557220 2.355043
122.00 147.00 20.557213 2.355038
124.00 149.00 20.557208 2.355034
126.00 151.00 20.557203 2.355030
128.00 153.00 20.557199 2.355026
130.00 155.00 20.557195 2.355024
132.00 157.00 20.557192 2.355021
134.00 159.00 20.557189 2.355019
136.00 161.00 20.557187 2.355017
138.00 163.00 20.557185 2.355015
140.00 165.00 20.557183 2.355013
142.00 167.00 20.557181 2.355012
144.00 169.00 20.557180 2.355010
146.00 171.00 20.557178 2.355009
148.00 173.00 20.557177 2.355008
150.00 175.00 20.557176 2.355007
152.00 177.00 20.557175 2.355007
154.00 179.00 20.557175 2.355006
156.00 181.00 20.557174 2.355005
158.00 183.00 20.557173 2.355005
160.00 185.00 20.557173 2.355004
162.00 187.00 20.557173 2.355004
164.00 189.00 20.557172 2.355004
166.00 191.00 20.557172 2.355003
168.00 193.00 20.557171 2.355003
170.00 195.00 20.557171 2.355003
172.00 197.00 20.557171 2.355002
174.00 199.00 20.557171 2.355002
176.00 201.00 20.557171 2.355002
178.00 203.00 20.557170 2.355002
180.00 205.00 20.557170 2.355002
182.00 207.00 20.557170 2.355001
184.00 209.00 20.557170 2.355001
186.00 211.00 20.557170 2.355001
188.00 213.00 20.557170 2.355001
190.00 215.00 20.557170 2.355001
192.00 217.00 20.557170 2.355001
194.00 219.00 20.557170 2.355001
196.00 221.00 20.557170 2.355001
198.00 223.00 20.557170 2.355001
200.00 225.00 20.557170 2.355001
202.00 227.00 20.557169 2.355001
204.00 229.00 20.557169 2.355001
206.00 231.00 20.557169 2.355001
208.00 233.00 20.557169 2.355001
210.00 235.00 20.557169 2.355001
212.00 237.00 20.557169 2.355001
214.00 239.00 20.557169 2.355001
216.00 241.00 20.557169 2.355001
218.00 243.00 20.557169 2.355001
220.00 245.00 20.557169 2.355001
222.00 247.00 20.557169 2.355000
224.00 249.00 20.557169 2.355000
