Tiempo (s),Flujo de neutrones (n),pos_nuc (%),pos_BC1 (%),pos_BC2 (%)
0.001,631.0592,0.0,0.0,0.0
0.002,473.4592,0.0,0.0,0.0
0.003,419.4675,0.0,0.0,0.0
0.004,400.9515,0.0,0.0,0.0
0.005,394.5827,0.0,0.0,0.0
0.006,392.3732,0.0,0.0,0.0
0.007,391.5878,0.0,0.0,0.0
0.008,391.2902,0.0,0.0,0.0
0.009,391.1595,0.0,0.0,0.0
0.01,391.0861,0.0,0.0,0.0
0.011,391.0323,0.0,0.0,0.0
0.012,390.9853,0.0,0.0,0.0
0.013,390.9407,0.0,0.0,0.0
0.014,390.8969,0.0,0.0,0.0
0.015,390.8534,0.0,0.0,0.0
0.016,390.8101,0.0,0.0,0.0
0.017,390.7669,0.0,0.0,0.0
0.018,390.7238,0.0,0.0,0.0
0.019,390.6807,0.0,0.0,0.0
0.02,390.6377,0.0,0.0,0.0
0.021,390.5947,0.0,0.0,0.0
0.022,390.5519,0.0,0.0,0.0
0.023,390.5091,0.0,0.0,0.0
0.024,390.4663,0.0,0.0,0.0
0.025,390.4236,0.0,0.0,0.0
0.026,390.381,0.0,0.0,0.0
0.027,390.3384,0.0,0.0,0.0
0.028,390.2959,0.0,0.0,0.0
0.029,390.2535,0.0,0.0,0.0
0.03,390.2111,0.0,0.0,0.0
0.031,390.1688,0.0,0.0,0.0
0.032,390.1265,0.0,0.0,0.0
0.033,390.0844,0.0,0.0,0.0
0.034,390.0422,0.0,0.0,0.0
0.035,390.0001,0.0,0.0,0.0
0.036,389.9581,0.0,0.0,0.0
0.037,389.9162,0.0,0.0,0.0
0.038,389.8743,0.0,0.0,0.0
0.039,389.8325,0.0,0.0,0.0
0.04,389.7907,0.0,0.0,0.0
0.041,389.749,0.0,0.0,0.0
0.042,389.7073,0.0,0.0,0.0
0.043,389.6658,0.0,0.0,0.0
0.044,389.6242,0.0,0.0,0.0
0.045,389.5828,0.0,0.0,0.0
0.046,389.5413,0.0,0.0,0.0
0.047,389.5,0.0,0.0,0.0
0.048,389.4587,0.0,0.0,0.0
0.049,389.4175,0.0,0.0,0.0
0.05,389.3763,0.0,0.0,0.0
0.051,389.3352,0.0,0.0,0.0
0.052,389.2941,0.0,0.0,0.0
0.053,389.2531,0.0,0.0,0.0
0.054,389.2122,0.0,0.0,0.0
0.055,389.1713,0.0,0.0,0.0
0.056,389.1304,0.0,0.0,0.0
0.057,389.0897,0.0,0.0,0.0
0.058,389.049,0.0,0.0,0.0
0.059,389.0083,0.0,0.0,0.0
0.06,388.9677,0.0,0.0,0.0
0.061,388.9272,0.0,0.0,0.0
0.062,388.8867,0.0,0.0,0.0
0.063,388.8462,0.0,0.0,0.0
0.064,388.8059,0.0,0.0,0.0
0.065,388.7655,0.0,0.0,0.0
0.066,388.7253,0.0,0.0,0.0
0.067,388.6851,0.0,0.0,0.0
0.068,388.6449,0.0,0.0,0.0
0.069,388.6048,0.0,0.0,0.0
0.07,388.5648,0.0,0.0,0.0
0.071,388.5248,0.0,0.0,0.0
0.072,388.4849,0.0,0.0,0.0
0.073,388.445,0.0,0.0,0.0
0.074,388.4052,0.0,0.0,0.0
0.075,388.3654,0.0,0.0,0.0
0.076,388.3257,0.0,0.0,0.0
0.077,390.1423,1,0,0
0.078,402.1636,7,0,0
0.079,431.1166,19,0,0
0.08,470.3351,31,0,0
0.081,559.4686,57,0,0
0.082,691.4432,80,0,0
0.083,853.8847,96,0,0
0.084,995.8158,100,0,0
0.085,1101.4757,100,0,0
0.086,1180.1398,100,0,0
0.087,1238.7113,100,0,0
0.088,1282.3282,100,0,0
0.089,1314.8147,100,0,0
0.09,1339.017,100,0,0
0.091,1357.0535,100,0,0
0.092,1370.5008,100,0,0
0.093,1380.5325,100,0,0
0.094,1388.022,100,0,0
0.095,1393.6193,100,0,0
0.096,1397.8082,100,0,0
0.097,1400.9489,100,0,0
0.098,1403.3094,100,0,0
0.099,1405.0892,100,0,0
0.1,1406.4367,100,0,0
0.101,1407.4624,100,0,0
0.102,1408.2486,100,0,0
0.103,1408.8565,100,0,0
0.104,1409.3317,100,0,0
0.105,1409.708,100,0,0
0.106,1410.0107,100,0,0
0.107,1410.2586,100,0,0
0.108,1410.4658,100,0,0
0.109,1410.6424,100,0,0
0.11,1410.7964,100,0,0
0.111,1410.9335,100,0,0
0.112,1411.058,100,0,0
0.113,1411.173,100,0,0
0.114,1411.281,100,0,0
0.115,1411.3838,100,0,0
0.116,1411.4825,100,0,0
0.117,1411.5783,100,0,0
0.118,1411.6718,100,0,0
0.119,1411.7636,100,0,0
0.12,1411.8541,100,0,0
0.121,1411.9436,100,0,0
0.122,1412.0323,100,0,0
0.123,1412.1204,100,0,0
0.124,1412.208,100,0,0
0.125,1412.2952,100,0,0
0.126,1412.3821,100,0,0
0.127,1412.4687,100,0,0
0.128,1412.555,100,0,0
0.129,1412.6412,100,0,0
0.13,1412.7271,100,0,0
0.131,1412.8129,100,0,0
0.132,1412.8986,100,0,0
0.133,1412.9841,100,0,0
0.134,1413.0694,100,0,0
0.135,1413.1546,100,0,0
0.136,1413.2397,100,0,0
0.137,1413.3246,100,0,0
0.138,1413.4094,100,0,0
0.139,1413.4941,100,0,0
0.14,1413.5786,100,0,0
0.141,1413.663,100,0,0
0.142,1413.7473,100,0,0
0.143,1413.8315,100,0,0
0.144,1413.9155,100,0,0
0.145,1413.9995,100,0,0
0.146,1414.0833,100,0,0
0.147,1414.167,100,0,0
0.148,1414.2505,100,0,0
0.149,1414.334,100,0,0
0.15,1414.4173,100,0,0
0.151,1414.5005,100,0,0
0.152,1414.5836,100,0,0
0.153,1414.6665,100,0,0
0.154,1414.7494,100,0,0
0.155,1414.8321,100,0,0
0.156,1414.9147,100,0,0
0.157,1414.9972,100,0,0
0.158,1415.0796,100,0,0
0.159,1415.1618,100,0,0
0.16,1428.2334,100,0,0
0.161,1463.965,100,0,0
0.162,1510.0732,100,0,0
0.163,1583.3932,100,0,0
0.164,1683.47,100,0,0
0.165,1809.9664,100,0,0
0.166,1975.6224,100,0,0
0.167,2228.8929,100,0,0
0.168,2482.4558,100,0,0
0.169,2716.7671,100,0,0
0.17,2969.2335,100,0,0
0.171,3209.2514,100,0,0
0.172,3401.0475,100,0,0
0.173,3543.9665,100,0,0
0.174,3650.5069,100,0,0
0.175,3729.9712,100,0,0
0.176,3789.283,100,0,0
0.177,3833.5955,100,0,0
0.178,3866.7441,100,0,0
0.179,3891.5834,100,0,0
0.18,3910.238,100,0,0
0.181,3924.2892,100,0,0
0.182,3934.9139,100,0,0
0.183,3942.9883,100,0,0
0.184,3949.1641,100,0,0
0.185,3953.9268,100,0,0
0.186,3957.6374,100,0,0
0.187,3960.5647,100,0,0
0.188,3962.9089,100,0,0
0.189,3964.8189,100,0,0
0.19,3966.4054,100,0,0
0.191,3967.751,100,0,0
0.192,3968.917,100,0,0
0.193,3969.9493,100,0,0
0.194,3970.8816,100,0,0
0.195,3971.7395,100,0,0
0.196,3972.5417,100,0,0
0.197,3973.3022,100,0,0
0.198,3974.0316,100,0,0
0.199,3974.7375,100,0,0
0.2,3975.4257,100,0,0
0.201,3976.1006,100,0,0
0.202,3976.7654,100,0,0
0.203,3977.4223,100,0,0
0.204,3978.0733,100,0,0
0.205,3978.7197,100,0,0
0.206,3979.3623,100,0,0
0.207,3980.0021,100,0,0
0.208,3980.6394,100,0,0
0.209,3981.2747,100,0,0
0.21,3981.9084,100,0,0
0.211,3982.5405,100,0,0
0.212,3983.1714,100,0,0
0.213,3983.8012,100,0,0
0.214,3984.4298,100,0,0
0.215,3985.0575,100,0,0
0.216,3985.6842,100,0,0
0.217,3986.3101,100,0,0
0.218,3986.935,100,0,0
0.219,3987.5591,100,0,0
0.22,3988.1824,100,0,0
0.221,3988.8048,100,0,0
0.222,3989.4265,100,0,0
0.223,3990.0473,100,0,0
0.224,3990.6673,100,0,0
0.225,3991.2866,100,0,0
0.226,3991.9051,100,0,0
0.227,3992.5228,100,0,0
0.228,3993.1397,100,0,0
0.229,3993.7559,100,0,0
0.23,3994.3712,100,0,0
0.231,3994.9859,100,0,0
0.232,3995.5997,100,0,0
0.233,3996.2128,100,0,0
0.234,3996.8252,100,0,0
0.235,3997.4367,100,0,0
0.236,3998.0476,100,0,0
0.237,3998.6576,100,0,0
0.238,3999.267,100,0,0
0.239,3999.8755,100,0,0
0.24,4000.4834,100,0,0
0.241,4001.0904,100,0,0
0.242,4001.6968,100,0,0
0.243,4002.3024,100,0,0
0.244,4002.9072,100,0,0
0.245,4003.5114,100,0,0
0.246,4004.1147,100,0,0
0.247,4004.7174,100,0,0
0.248,4005.3193,100,0,0
0.249,4005.9205,100,0,0
0.25,4029.2226,100,7,0
0.251,4089.5872,100,20,0
0.252,4216.7957,100,44,0
0.253,4411.6618,100,71,0
0.254,4669.1544,100,98,0
0.255,4887.4451,100,100,0
0.256,5066.0368,100,100,0
0.257,5212.1985,100,100,0
0.258,5331.8682,100,100,0
0.259,5429.8966,100,100,0
0.26,5510.2461,100,100,0
0.261,5576.1535,100,100,0
0.262,5630.2631,100,100,0
0.263,5674.7349,100,100,0
0.264,5711.3333,100,100,0
0.265,5741.4998,100,100,0
0.266,5766.4118,100,100,0
0.267,5787.0311,100,100,0
0.268,5804.1435,100,100,0
0.269,5818.3908,100,100,0
0.27,5830.2974,100,100,0
0.271,5840.2915,100,100,0
0.272,5848.7231,100,100,0
0.273,5855.878,100,100,0
0.274,5861.9896,100,100,0
0.275,5867.2487,100,100,0
0.276,5871.8111,100,100,0
0.277,5875.8041,100,100,0
0.278,5879.3316,100,100,0
0.279,5882.4786,100,100,0
0.28,5885.3145,100,100,0
0.281,5887.8959,100,100,0
0.282,5890.2691,100,100,0
0.283,5892.4721,100,100,0
0.284,5894.5355,100,100,0
0.285,5896.4848,100,100,0
0.286,5898.3405,100,100,0
