Tiempo (s),Posicion (x),Velocidad (v),m,b,k
0.02,2.994,-0.3,1.0,0.2,5.0
0.04,2.982,-0.5982,1.0,0.2,5.0
0.06,2.9642,-0.894,1.0,0.2,5.0
0.08,2.9404,-1.1869,1.0,0.2,5.0
0.1,2.9109,-1.4761,1.0,0.2,5.0
0.12,2.8757,-1.7613,1.0,0.2,5.0
0.14,2.8348,-2.0419,1.0,0.2,5.0
0.16,2.7885,-2.3172,1.0,0.2,5.0
0.18,2.7368,-2.5867,1.0,0.2,5.0
0.2,2.6798,-2.8501,1.0,0.2,5.0
0.22,2.6176,-3.1067,1.0,0.2,5.0
0.24,2.5505,-3.356,1.0,0.2,5.0
0.26,2.4785,-3.5976,1.0,0.2,5.0
0.28,2.4019,-3.8311,1.0,0.2,5.0
0.3,2.3208,-4.0559,1.0,0.2,5.0
0.32,2.2354,-4.2718,1.0,0.2,5.0
0.34,2.1458,-4.4783,1.0,0.2,5.0
0.36,2.0523,-4.6749,1.0,0.2,5.0
0.38,1.9551,-4.8615,1.0,0.2,5.0
0.4,1.8543,-5.0375,1.0,0.2,5.0
0.42,1.7503,-5.2028,1.0,0.2,5.0
0.44,1.6431,-5.357,1.0,0.2,5.0
0.46,1.5331,-5.4999,1.0,0.2,5.0
0.48,1.4205,-5.6312,1.0,0.2,5.0
0.5,1.3055,-5.7507,1.0,0.2,5.0
0.52,1.1883,-5.8583,1.0,0.2,5.0
0.54,1.0693,-5.9537,1.0,0.2,5.0
0.56,0.9485,-6.0368,1.0,0.2,5.0
0.58,0.8264,-6.1075,1.0,0.2,5.0
0.6,0.7031,-6.1657,1.0,0.2,5.0
0.62,0.5788,-6.2113,1.0,0.2,5.0
0.64,0.4539,-6.2444,1.0,0.2,5.0
0.66,0.3286,-6.2648,1.0,0.2,5.0
0.68,0.2032,-6.2726,1.0,0.2,5.0
0.7,0.0778,-6.2678,1.0,0.2,5.0
0.72,-0.0472,-6.2505,1.0,0.2,5.0
0.74,-0.1716,-6.2208,1.0,0.2,5.0
0.76,-0.2952,-6.1788,1.0,0.2,5.0
0.78,-0.4177,-6.1246,1.0,0.2,5.0
0.8,-0.5388,-6.0583,1.0,0.2,5.0
0.82,-0.6584,-5.9802,1.0,0.2,5.0
0.84,-0.7762,-5.8904,1.0,0.2,5.0
0.86,-0.892,-5.7892,1.0,0.2,5.0
0.88,-1.0056,-5.6769,1.0,0.2,5.0
0.9,-1.1166,-5.5536,1.0,0.2,5.0
0.92,-1.225,-5.4197,1.0,0.2,5.0
0.94,-1.3305,-5.2755,1.0,0.2,5.0
0.96,-1.433,-5.1214,1.0,0.2,5.0
0.98,-1.5321,-4.9576,1.0,0.2,5.0
1.0,-1.6278,-4.7846,1.0,0.2,5.0
1.02,-1.7199,-4.6026,1.0,0.2,5.0
1.04,-1.8081,-4.4123,1.0,0.2,5.0
1.06,-1.8924,-4.2138,1.0,0.2,5.0
1.08,-1.9725,-4.0077,1.0,0.2,5.0
1.1,-2.0484,-3.7944,1.0,0.2,5.0
1.12,-2.1199,-3.5744,1.0,0.2,5.0
1.14,-2.1869,-3.3481,1.0,0.2,5.0
1.16,-2.2492,-3.116,1.0,0.2,5.0
1.18,-2.3068,-2.8786,1.0,0.2,5.0
1.2,-2.3595,-2.6365,1.0,0.2,5.0
1.22,-2.4073,-2.39,1.0,0.2,5.0
1.24,-2.4501,-2.1397,1.0,0.2,5.0
1.26,-2.4878,-1.8861,1.0,0.2,5.0
1.28,-2.5204,-1.6298,1.0,0.2,5.0
1.3,-2.5478,-1.3712,1.0,0.2,5.0
1.32,-2.57,-1.1109,1.0,0.2,5.0
1.34,-2.587,-0.8495,1.0,0.2,5.0
1.36,-2.5988,-0.5874,1.0,0.2,5.0
1.38,-2.6053,-0.3252,1.0,0.2,5.0
1.4,-2.6066,-0.0633,1.0,0.2,5.0
1.42,-2.6026,0.1976,1.0,0.2,5.0
1.44,-2.5935,0.457,1.0,0.2,5.0
1.46,-2.5792,0.7146,1.0,0.2,5.0
1.48,-2.5598,0.9696,1.0,0.2,5.0
1.5,-2.5353,1.2217,1.0,0.2,5.0
1.52,-2.5059,1.4704,1.0,0.2,5.0
1.54,-2.4716,1.7151,1.0,0.2,5.0
1.56,-2.4325,1.9554,1.0,0.2,5.0
1.58,-2.3887,2.1908,1.0,0.2,5.0
1.6,-2.3403,2.4209,1.0,0.2,5.0
1.62,-2.2874,2.6453,1.0,0.2,5.0
1.64,-2.2301,2.8634,1.0,0.2,5.0
1.66,-2.1686,3.075,1.0,0.2,5.0
1.68,-2.103,3.2795,1.0,0.2,5.0
1.7,-2.0335,3.4767,1.0,0.2,5.0
1.72,-1.9602,3.6662,1.0,0.2,5.0
1.74,-1.8832,3.8475,1.0,0.2,5.0
1.76,-1.8028,4.0205,1.0,0.2,5.0
1.78,-1.7191,4.1847,1.0,0.2,5.0
1.8,-1.6323,4.3398,1.0,0.2,5.0
1.82,-1.5426,4.4857,1.0,0.2,5.0
1.84,-1.4502,4.622,1.0,0.2,5.0
1.86,-1.3552,4.7485,1.0,0.2,5.0
1.88,-1.2579,4.8651,1.0,0.2,5.0
1.9,-1.1585,4.9714,1.0,0.2,5.0
1.92,-1.0571,5.0674,1.0,0.2,5.0
1.94,-0.9541,5.1528,1.0,0.2,5.0
1.96,-0.8495,5.2276,1.0,0.2,5.0
1.98,-0.7437,5.2916,1.0,0.2,5.0
2.0,-0.6368,5.3448,1.0,0.2,5.0
2.02,-0.529,5.3871,1.0,0.2,5.0
2.04,-0.4207,5.4185,1.0,0.2,5.0
2.06,-0.3119,5.4389,1.0,0.2,5.0
2.08,-0.2029,5.4483,1.0,0.2,5.0
2.1,-0.094,5.4468,1.0,0.2,5.0
2.12,0.0147,5.4344,1.0,0.2,5.0
2.14,0.1229,5.4112,1.0,0.2,5.0
2.16,0.2305,5.3773,1.0,0.2,5.0
2.18,0.3371,5.3327,1.0,0.2,5.0
2.2,0.4427,5.2777,1.0,0.2,5.0
2.22,0.5469,5.2123,1.0,0.2,5.0
2.24,0.6497,5.1368,1.0,0.2,5.0
2.26,0.7507,5.0513,1.0,0.2,5.0
2.28,0.8498,4.956,1.0,0.2,5.0
2.3,0.9468,4.8512,1.0,0.2,5.0
2.32,1.0416,4.7371,1.0,0.2,5.0
2.34,1.1339,4.614,1.0,0.2,5.0
2.36,1.2235,4.4821,1.0,0.2,5.0
2.38,1.3103,4.3419,1.0,0.2,5.0
2.4,1.3942,4.1935,1.0,0.2,5.0
2.42,1.4749,4.0373,1.0,0.2,5.0
2.44,1.5524,3.8736,1.0,0.2,5.0
2.46,1.6265,3.7029,1.0,0.2,5.0
2.48,1.697,3.5254,1.0,0.2,5.0
2.5,1.7638,3.3416,1.0,0.2,5.0
2.52,1.8269,3.1519,1.0,0.2,5.0
2.54,1.886,2.9566,1.0,0.2,5.0
2.56,1.9411,2.7562,1.0,0.2,5.0
2.58,1.9921,2.551,1.0,0.2,5.0
2.6,2.039,2.3416,1.0,0.2,5.0
2.62,2.0815,2.1284,1.0,0.2,5.0
2.64,2.1198,1.9117,1.0,0.2,5.0
2.66,2.1536,1.6921,1.0,0.2,5.0
2.68,2.183,1.4699,1.0,0.2,5.0
2.7,2.2079,1.2458,1.0,0.2,5.0
2.72,2.2283,1.02,1.0,0.2,5.0
2.74,2.2442,0.7931,1.0,0.2,5.0
2.76,2.2555,0.5655,1.0,0.2,5.0
2.78,2.2622,0.3377,1.0,0.2,5.0
2.8,2.2644,0.1101,1.0,0.2,5.0
2.82,2.2621,-0.1168,1.0,0.2,5.0
2.84,2.2553,-0.3425,1.0,0.2,5.0
2.86,2.2439,-0.5667,1.0,0.2,5.0
2.88,2.2281,-0.7888,1.0,0.2,5.0
